racer_no,name,kana,branch,grade,era,birth_ymd,sex,age,height,weight,blood,win_rate,place_rate,avg_st,prev_grade,prev2_grade,prev3_grade,prev_ability_index,ability_index,year,season,period_from,period_to,training_term,birthplace,course1_entry_count,course1_place_rate,course1_avg_st,course1_avg_st_rank,course2_entry_count,course2_place_rate,course2_avg_st,course2_avg_st_rank,course3_entry_count,course3_place_rate,course3_avg_st,course3_avg_st_rank,course4_entry_count,course4_place_rate,course4_avg_st,course4_avg_st_rank,course5_entry_count,course5_place_rate,course5_avg_st,course5_avg_st_rank,course6_entry_count,course6_place_rate,course6_avg_st,course6_avg_st_rank
3056,松　野　　京　吾,ﾏﾂﾉ ｷﾖｳｺﾞ,山口,B1,S,311112,1,59,157,49,A,5.78,41.3,0.17,A1,A2,A1,54.0,50.0,2016,1,20150501,20151031,51,山　口,13,69.2,0.15,2.3,15,40.0,0.15,2.6,12,50.0,0.18,2.8,12,25.0,0.19,4.0,4,0.0,0.24,5.0,2,0.0,0.18,3.5
3076,西　川　　美智代,ﾆｼｶﾜ ﾐﾁﾖ,徳島,B2,S,371012,2,53,154,46,O,2.45,8.1,0.19,B2,B2,B2,39.0,38.0,2016,1,20150501,20151031,51,徳　島,6,16.7,0.2,4.7,9,22.2,0.18,3.1,12,0.0,0.18,3.9,7,14.3,0.23,3.6,9,0.0,0.15,3.8,6,0.0,0.23,3.8
3094,藤　井　　昌　子,ﾌｼﾞｲ ﾏｻｺ,兵庫,B2,S,370208,2,53,153,45,A,2.6,6.6,0.19,B2,B2,B2,0.0,39.0,2016,1,20150501,20151031,52,兵　庫,8,25.0,0.14,2.8,11,0.0,0.22,3.5,7,0.0,0.23,3.6,10,10.0,0.2,3.6,6,0.0,0.17,3.7,3,0.0,0.19,4.7
3104,三　浦　　高　志,ﾐｳﾗ ﾀｶｼ,福岡,B2,S,380712,1,52,159,53,O,3.19,3.7,0.2,B1,B1,B1,44.0,43.0,2016,1,20150501,20151031,52,福　岡,10,10.0,0.21,4.0,15,6.7,0.19,3.9,14,0.0,0.2,4.1,13,0.0,0.23,4.6,22,4.5,0.18,4.0,6,0.0,0.21,4.5
3181,林　　　　慎　一,ﾊﾔｼ ｼﾝｲﾁ,愛知,B1,S,390902,1,51,165,61,AB,3.73,11.0,0.2,B1,B1,B1,49.0,45.0,2016,1,20150501,20151031,55,愛　知,17,11.8,0.22,4.2,15,26.7,0.19,3.6,22,18.2,0.18,3.1,21,4.8,0.17,3.5,18,5.6,0.2,4.1,16,0.0,0.23,4.8
3191,井　坂　　友　則,ｲｻｶ ﾄﾓﾉﾘ,東京,B2,S,370813,1,53,166,66,O,1.79,1.6,0.32,B2,B2,B2,37.0,35.0,2016,1,20150501,20151031,56,東　京,11,0.0,0.23,4.5,9,0.0,0.31,5.3,10,10.0,0.3,5.4,4,0.0,0.5,4.8,11,0.0,0.28,5.4,16,0.0,0.38,5.8
3195,井　手　　晴　美,ｲﾃﾞ ﾊﾙﾐ,福岡,B2,S,381119,2,52,156,49,A,3.17,4.1,0.21,B2,B2,B2,43.0,44.0,2016,1,20150501,20151031,56,福　岡,5,0.0,0.17,2.4,10,10.0,0.17,3.9,9,0.0,0.24,3.3,9,0.0,0.21,3.7,9,11.1,0.17,3.4,6,0.0,0.29,5.2
3374,林　　　　明　治,ﾊﾔｼ ｱｷﾊﾙ,佐賀,B1,S,420329,1,48,165,54,A,3.2,14.2,0.19,B1,B1,B1,43.0,41.0,2016,1,20150501,20151031,63,佐　賀,9,55.6,0.15,3.4,13,15.4,0.2,4.0,9,11.1,0.17,4.1,12,16.7,0.17,3.4,16,0.0,0.21,4.3,11,0.0,0.21,3.5
3396,海老原　　孝　志,ｴﾋﾞﾊﾗ ﾀｶｼ,群馬,B2,S,410615,1,49,159,57,B,4.08,18.7,0.2,B2,B1,B1,45.0,45.0,2016,1,20150501,20151031,64,栃　木,6,33.3,0.27,4.5,8,25.0,0.16,3.9,8,25.0,0.2,2.9,6,16.7,0.15,2.8,13,15.4,0.21,3.8,7,0.0,0.24,3.7
3426,金　子　　勝　利,ｶﾈｺ ｶﾂﾄｼ,埼玉,B2,S,411123,1,49,161,56,O,2.98,10.2,0.21,B1,B1,B1,44.0,41.0,2016,1,20150501,20151031,65,埼　玉,7,0.0,0.18,4.3,7,14.3,0.28,5.2,8,12.5,0.22,4.5,7,14.3,0.17,4.0,13,15.4,0.21,4.2,7,0.0,0.23,5.0
3440,大　西　　源　喜,ｵｵﾆｼ ｹﾞﾝｷ,東京,B2,S,440725,1,46,161,50,A,8.0,66.6,0.16,B2,A2,B1,51.0,58.0,2016,1,20150501,20151031,65,千　葉,1,0.0,0.11,2.0,1,100.0,0.19,3.0,0,0.0,0.0,0.0,1,100.0,0.18,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
3466,松　岡　　晃　司,ﾏﾂｵｶ ｺｳｼﾞ,香川,B2,S,430219,1,47,161,52,O,3.24,10.8,0.2,B2,B1,B1,43.0,43.0,2016,1,20150501,20151031,66,香　川,6,16.7,0.16,3.7,9,11.1,0.18,4.1,8,25.0,0.18,3.9,7,14.3,0.19,5.0,8,0.0,0.24,5.1,8,0.0,0.23,5.1
3494,新鶴田　　文　広,ｼﾝﾂﾙﾀ ﾌﾐﾋﾛ,愛知,B2,S,430225,1,47,166,53,A,3.2,8.1,0.21,B2,B2,B1,42.0,42.0,2016,1,20150501,20151031,67,愛　知,8,0.0,0.24,4.5,9,11.1,0.2,5.0,5,20.0,0.23,4.2,7,0.0,0.21,4.4,11,18.2,0.2,3.1,9,0.0,0.21,5.3
3545,高　田　　謙　一,ﾀｶﾀﾞ ｹﾝｲﾁ,福岡,B1,S,440106,1,46,161,53,B,3.37,15.4,0.27,B1,B1,B1,45.0,42.0,2016,1,20150501,20151031,69,福　岡,8,25.0,0.3,5.1,12,8.3,0.24,5.1,12,0.0,0.26,4.8,8,50.0,0.31,5.6,19,21.1,0.25,4.3,12,0.0,0.27,4.8
3599,柿　本　　達　也,ｶｷﾓﾄ ﾀﾂﾔ,長崎,B2,S,450101,1,45,160,56,AB,2.51,4.1,0.19,B2,B2,B2,36.0,40.0,2016,1,20150501,20151031,71,長　崎,10,20.0,0.19,3.1,10,10.0,0.2,3.9,12,0.0,0.18,3.3,13,0.0,0.17,3.3,12,0.0,0.2,3.4,16,0.0,0.18,4.0
3638,前　田　　　　努,ﾏｴﾀﾞ ﾂﾄﾑ,大阪,B2,S,451211,1,45,170,55,O,2.31,4.1,0.27,B2,B2,B2,43.0,39.0,2016,1,20150501,20151031,72,和歌山,4,0.0,0.26,6.0,9,0.0,0.3,5.7,6,0.0,0.32,5.8,6,33.3,0.23,4.8,7,0.0,0.26,5.7,16,0.0,0.25,5.0
3651,中　野　　秀　彦,ﾅｶﾉ ﾋﾃﾞﾋｺ,東京,B1,S,480813,1,42,162,55,O,4.35,21.7,0.22,B1,B1,B1,46.0,47.0,2016,1,20150501,20151031,72,山　梨,11,18.2,0.19,3.7,15,20.0,0.2,4.5,11,36.4,0.22,4.1,12,25.0,0.19,3.5,13,23.1,0.24,4.1,7,0.0,0.26,4.4
3671,後　藤　　　　博,ｺﾞﾄｳ ﾋﾛｼ,福井,B1,S,470716,1,43,168,57,A,3.64,16.4,0.19,B1,B1,B1,42.0,43.0,2016,1,20150501,20151031,73,石　川,10,60.0,0.18,2.7,12,25.0,0.19,3.5,15,13.3,0.16,2.8,16,6.3,0.19,3.9,16,12.5,0.17,3.6,16,0.0,0.22,4.3
3675,寺　島　　和　典,ﾃﾗｼﾏ ｶｽﾞﾉﾘ,埼玉,B2,S,471024,1,43,169,64,O,3.06,10.6,0.23,B1,B2,B1,42.0,41.0,2016,1,20150501,20151031,73,埼　玉,7,14.3,0.23,3.7,7,0.0,0.18,3.0,6,16.7,0.22,4.2,9,0.0,0.28,3.7,12,16.7,0.21,4.0,7,14.3,0.26,3.9
3676,八　島　　貴美子,ﾔｼﾏ ｷﾐｺ,佐賀,B2,S,471223,2,43,160,47,A,3.45,6.9,0.26,B2,B1,B2,40.0,43.0,2016,1,20150501,20151031,73,佐　賀,5,20.0,0.25,3.8,12,0.0,0.25,5.0,9,11.1,0.27,4.3,14,14.3,0.23,3.7,10,0.0,0.25,4.3,8,0.0,0.32,4.9
4217,栩　本　　佑　介,ﾄﾁﾓﾄ ﾕｳｽｹ,福岡,B1,S,560724,1,34,164,55,AB,2.98,10.9,0.2,B2,B1,B1,37.0,41.0,2016,1,20150501,20151031,92,福　岡,6,16.7,0.17,3.0,12,0.0,0.26,4.6,12,25.0,0.13,2.9,13,15.4,0.2,3.6,15,0.0,0.21,4.1,6,16.7,0.17,3.0
4554,花　本　　大　樹,ﾊﾅﾓﾄ ﾀﾞｲｷ,福岡,B1,H,010518,1,26,166,56,B,4.0,27.5,0.18,B1,B2,B2,42.0,44.0,2016,1,20150501,20151031,104,福　岡,6,33.3,0.2,5.0,14,35.7,0.18,3.7,12,58.3,0.16,3.7,13,15.4,0.2,3.5,12,0.0,0.15,3.6,12,25.0,0.19,3.4
4609,梅　内　　駿　佑,ｳﾒﾅｲ ｼｭﾝｽｹ,東京,B2,H,020521,1,25,163,54,B,3.66,17.1,0.22,B2,B2,B1,42.0,43.0,2016,1,20150501,20151031,106,千　葉,6,16.7,0.23,4.7,8,37.5,0.19,3.5,9,22.2,0.16,3.7,5,0.0,0.25,5.2,4,0.0,0.26,5.3,4,0.0,0.27,4.8
4647,磯　部　　温　志,ｲｿﾍﾞ ｱﾂｼ,山口,B2,S,570526,1,33,167,58,O,1.38,0.0,0.31,B2,B2,B2,32.0,34.0,2016,1,20150501,20151031,108,山　口,1,0.0,0.8,6.0,3,0.0,0.37,5.0,1,0.0,0.41,6.0,4,0.0,0.19,4.0,0,0.0,0.0,0.0,5,0.0,0.25,5.4
4827,鈴　木　　雄　斗,ｽｽﾞｷ ﾕｳﾄ,静岡,B1,H,060802,1,21,165,51,A,3.19,11.3,0.19,B2,B2,B2,36.0,40.0,2016,1,20150501,20151031,114,静　岡,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,40.0,0.2,3.2,19,15.8,0.22,4.2,29,3.4,0.17,3.0
2528,新　井　　敏　司,ｱﾗｲ ﾄｼｼﾞ,群馬,B1,S,230307,1,68,163,53,O,4.59,28.2,0.17,B1,B1,B1,49.0,47.0,2016,2,20151101,20160430,32,栃　木,16,56.3,0.17,3.3,18,38.9,0.19,3.4,16,12.5,0.17,2.8,15,33.3,0.15,3.0,20,10.0,0.17,3.6,14,21.4,0.19,3.3
2757,宮　内　　忠　志,ﾐﾔｳﾁ ﾀﾀﾞｼ,東京,B2,S,270516,1,64,167,57,A,2.55,6.8,0.2,B2,B1,B2,40.0,38.0,2016,2,20151101,20160430,39,千　葉,5,20.0,0.22,4.4,7,0.0,0.17,4.0,5,0.0,0.21,2.6,6,16.7,0.23,3.7,9,0.0,0.17,4.0,13,7.7,0.21,3.8
2997,池　上　　正　浩,ｲｹｶﾞﾐ ﾏｻﾋﾛ,岡山,B1,S,370120,1,54,166,50,O,4.72,29.4,0.21,B1,B1,B1,47.0,48.0,2016,2,20151101,20160430,48,岡　山,22,54.5,0.2,3.8,62,22.6,0.21,4.4,5,20.0,0.22,4.2,3,33.3,0.24,5.3,0,0.0,0.0,0.0,3,0.0,0.3,5.3
3083,大　塚　　治　美,ｵｵﾂｶ ﾊﾙﾐ,埼玉,B2,S,340727,2,56,156,49,O,3.3,6.3,0.21,B2,B2,B2,41.0,44.0,2016,2,20151101,20160430,52,埼　玉,10,10.0,0.2,4.0,16,18.8,0.2,4.1,17,0.0,0.2,4.1,16,0.0,0.23,4.3,2,0.0,0.24,5.0,3,0.0,0.26,5.3
3092,中　村　　照　美,ﾅｶﾑﾗ ﾃﾙﾐ,福井,B2,S,360809,2,54,158,46,A,1.33,0.0,0.2,B2,B1,B1,43.0,31.0,2016,2,20151101,20160430,52,福　井,1,0.0,0.03,2.0,1,0.0,0.2,3.0,3,0.0,0.21,4.0,4,0.0,0.23,5.8,2,0.0,0.28,5.0,1,0.0,0.13,3.0
3100,若　山　　美　穂,ﾜｶﾔﾏ ﾐﾎ,愛知,B2,S,380424,2,53,148,46,B,2.83,9.5,0.18,B2,B2,B2,44.0,40.0,2016,2,20151101,20160430,52,愛　知,4,50.0,0.19,2.3,9,22.2,0.18,3.2,7,0.0,0.17,2.6,6,0.0,0.21,3.5,10,0.0,0.16,3.0,6,0.0,0.19,4.0
3103,水　上　　浩　充,ﾐｽﾞｶﾐ ﾋﾛﾐﾂ,福井,B1,S,380710,1,52,165,53,B,4.84,31.1,0.16,B1,B1,B1,48.0,46.0,2016,2,20151101,20160430,52,石　川,16,81.3,0.16,2.7,32,28.1,0.17,3.3,24,12.5,0.18,3.2,25,24.0,0.14,3.3,5,40.0,0.14,2.6,4,0.0,0.21,4.3
3190,片　山　　友多加,ｶﾀﾔﾏ ﾕﾀｶ,静岡,B1,S,370602,1,54,162,64,O,5.08,32.2,0.16,B1,B1,B1,44.0,48.0,2016,2,20151101,20160430,56,静　岡,13,61.5,0.19,3.2,19,31.6,0.13,2.9,20,30.0,0.16,3.3,19,36.8,0.16,2.5,12,25.0,0.11,2.2,13,7.7,0.2,3.4
3378,八　木　　富　重,ﾔｷﾞ ﾄﾐｼｹﾞ,愛知,B1,S,430107,1,48,164,54,B,3.13,14.0,0.26,B1,B1,B1,42.0,41.0,2016,2,20151101,20160430,63,愛　知,8,37.5,0.19,3.1,6,0.0,0.23,3.7,9,11.1,0.2,4.2,8,25.0,0.32,4.6,17,11.8,0.29,5.1,16,6.3,0.29,4.8
3639,関　谷　　聖　二,ｾｷﾀﾆ ｾｲｼﾞ,群馬,B2,S,451225,1,45,164,57,A,3.09,9.0,0.17,B1,B1,B1,44.0,42.0,2016,2,20151101,20160430,72,栃　木,13,15.4,0.17,2.3,17,17.6,0.17,3.4,22,9.1,0.17,3.0,21,9.5,0.15,2.6,11,0.0,0.21,4.2,16,0.0,0.2,3.7
3688,入　倉　　数　広,ｲﾘｸﾗ ｶｽﾞﾋﾛ,広島,B1,S,450611,1,46,159,54,O,3.98,20.3,0.2,B1,B1,B1,47.0,46.0,2016,2,20151101,20160430,74,広　島,6,66.7,0.21,3.5,11,27.3,0.21,4.5,6,33.3,0.23,4.5,11,18.2,0.2,4.4,10,0.0,0.2,4.4,10,0.0,0.17,3.7
3720,吉　村　　　　輝,ﾖｼﾑﾗ ｱｷﾗ,広島,B2,S,500326,1,41,163,54,B,3.27,8.2,0.18,B2,B1,B2,41.0,43.0,2016,2,20151101,20160430,74,広　島,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,37.5,0.15,2.1,27,0.0,0.17,3.1,30,0.0,0.2,3.7
3749,今　坂　　勝　広,ｲﾏｻｶ ｶﾂﾋﾛ,静岡,B2,S,510104,1,40,160,52,A,6.49,53.6,0.14,A1,A1,A1,60.0,50.0,2016,2,20151101,20160430,75,静　岡,7,71.4,0.12,2.5,11,63.6,0.12,1.5,6,83.3,0.14,3.5,12,25.0,0.16,3.3,3,66.7,0.13,3.0,0,0.0,0.0,0.0
3754,江野澤　　秀　明,ｴﾉｻﾜ ﾋﾃﾞｱｷ,東京,B1,S,460727,1,44,167,54,O,4.03,20.3,0.24,B2,B2,B2,43.0,45.0,2016,2,20151101,20160430,76,千　葉,10,60.0,0.17,3.1,12,8.3,0.23,4.3,12,25.0,0.22,4.2,6,0.0,0.24,4.0,11,18.2,0.32,4.5,8,0.0,0.29,4.1
3766,清　水　　久美子,ｼﾐｽﾞ ｸﾐｺ,東京,B2,S,480324,2,43,161,53,B,2.29,4.2,0.23,B2,B2,B2,37.0,38.0,2016,2,20151101,20160430,76,千　葉,8,0.0,0.3,4.9,13,7.7,0.2,3.8,14,0.0,0.22,4.1,9,11.1,0.27,4.2,15,6.7,0.21,4.1,11,0.0,0.23,4.5
3786,納　富　　一　樹,ﾉｳﾄﾐ ｶｽﾞｷ,滋賀,B2,S,460901,1,44,165,57,A,0.0,0.0,0.0,B1,B1,B1,43.0,0.0,2016,2,20151101,20160430,77,滋　賀,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
3972,富　永　　恭　史,ﾄﾐﾅｶﾞ ﾔｽﾋｻ,長崎,B2,S,510815,1,39,169,61,A,2.68,5.0,0.23,B2,B2,B2,41.0,40.0,2016,2,20151101,20160430,83,長　崎,5,0.0,0.18,4.8,12,8.3,0.2,4.5,8,0.0,0.23,4.8,15,6.7,0.27,4.9,15,6.7,0.2,4.3,5,0.0,0.27,4.6
3985,内　田　　貴　士,ｳﾁﾀﾞ ﾀｶｼ,静岡,A2,S,530128,1,38,167,54,O,5.92,44.9,0.15,B1,A2,A2,47.0,51.0,2016,2,20151101,20160430,83,静　岡,18,72.2,0.15,2.2,17,52.9,0.13,1.9,11,45.5,0.15,2.3,19,36.8,0.15,3.2,18,33.3,0.15,2.6,15,26.7,0.16,3.4
4149,眞　鍋　　賢　司,ﾏﾅﾍﾞ ｹﾝｼﾞ,岡山,B2,S,570205,1,34,162,52,A,0.0,0.0,0.0,B2,A2,A2,0.0,0.0,2016,2,20151101,20160430,89,岡　山,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
4328,貞　本　　拓　哉,ｻﾀﾞﾓﾄ ﾀｸﾔ,広島,B2,S,580611,1,33,167,63,O,2.09,3.6,0.22,B2,B2,B2,41.0,37.0,2016,2,20151101,20160430,96,広　島,3,0.0,0.32,5.3,0,0.0,0.0,0.0,2,50.0,0.29,6.0,1,0.0,0.33,6.0,16,0.0,0.21,3.7,33,3.0,0.21,4.2
4493,滝　澤　　友　恵,ﾀｷｻﾞﾜ ﾄﾓｴ,福岡,B2,S,620219,2,29,163,47,B,0.0,0.0,0.0,B2,B2,B2,0.0,0.0,2016,2,20151101,20160430,102,福　岡,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
4595,花　井　　　　潤,ﾊﾅｲ ｼﾞｭﾝ,東京,B2,S,570126,1,34,167,56,AB,3.17,7.5,0.16,B2,B2,B1,46.0,42.0,2016,2,20151101,20160430,106,東　京,7,28.6,0.17,2.4,12,8.3,0.18,4.0,4,0.0,0.22,5.0,15,6.7,0.14,2.5,5,0.0,0.14,2.8,10,0.0,0.17,3.1
4717,永　田　　純　也,ﾅｶﾞﾀ ｼﾞｭﾝﾔ,東京,B2,H,041123,1,23,170,55,A,2.72,4.3,0.24,B2,B1,B1,40.0,39.0,2016,2,20151101,20160430,110,北海道,3,33.3,0.22,4.7,5,0.0,0.23,4.5,8,0.0,0.23,4.1,4,25.0,0.16,3.8,10,0.0,0.26,4.3,17,0.0,0.26,5.1
4858,須　田　　大　輝,ｽﾀﾞ ﾀﾞｲｷ,東京,B2,S,620609,1,29,167,51,O,1.45,0.0,0.18,B2,B2,B2,33.0,34.0,2016,2,20151101,20160430,116,東　京,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0,0.25,5.3,15,0.0,0.17,3.5,37,0.0,0.19,4.2
4869,寺　垣　　　　光,ﾃﾗｶﾞｷ ﾋｶﾘ,福井,B2,H,030813,2,24,153,53,A,1.12,0.0,0.27,B2,B2,B2,30.0,31.0,2016,2,20151101,20160430,116,富　山,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,0.0,0.24,3.6,12,0.0,0.28,5.6
4935,圓　井　　勇　輝,ﾏﾙｲ ﾕｳｷ,山口,B2,H,080723,1,19,164,55,B,0.0,0.0,0.0,B2,,,0.0,0.0,2016,2,20151101,20160430,118,山　口,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2380,関　　　　忠　志,ｾｷ ﾀﾀﾞｼ,岡山,B1,S,251118,1,66,167,50,B,3.54,16.6,0.2,B1,A2,B1,47.0,43.0,2017,1,20160501,20161031,28,岡　山,30,30.0,0.19,3.5,51,7.8,0.21,3.6,15,13.3,0.18,3.9,1,100.0,0.15,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2505,小　泉　　秀　人,ｺｲｽﾞﾐ ﾋﾃﾞﾄ,長崎,B1,S,260225,1,65,165,51,B,3.08,6.2,0.21,B2,B2,B1,43.0,42.0,2017,1,20160501,20161031,31,長　崎,10,10.0,0.21,3.9,23,8.7,0.21,4.8,19,5.3,0.2,4.5,17,5.9,0.22,4.6,9,0.0,0.21,4.7,2,0.0,0.26,6.0
2776,三　谷　　征　伸,ﾐﾀﾆ ﾕｷﾉﾌﾞ,大阪,B1,S,280722,1,63,171,53,B,3.47,7.9,0.21,B1,B1,B1,47.0,44.0,2017,1,20160501,20161031,40,大　阪,13,15.4,0.23,3.8,24,12.5,0.2,3.8,14,14.3,0.22,4.4,17,0.0,0.21,3.4,18,5.6,0.19,3.7,16,0.0,0.2,3.6
2823,平　野　　勇　志,ﾋﾗﾉ ﾕｳｼ,愛知,B1,S,280728,1,63,161,51,O,4.2,17.6,0.21,B1,B1,B1,46.0,46.0,2017,1,20160501,20161031,42,岩　手,9,66.7,0.17,3.9,10,10.0,0.23,4.9,12,8.3,0.2,3.9,14,7.1,0.23,3.9,7,0.0,0.22,4.9,0,0.0,0.0,0.0
2887,大　井　　崇　夫,ｵｵｲ ﾀｶｵ,香川,B1,S,300417,1,61,161,53,AB,4.44,23.0,0.2,B1,B1,B1,48.0,47.0,2017,1,20160501,20161031,44,愛　媛,13,38.5,0.17,3.4,21,42.9,0.21,4.1,21,19.0,0.23,3.9,14,14.3,0.2,4.3,16,18.8,0.19,4.6,15,0.0,0.19,4.0
2914,岡　　　　　　孝,ｵｶ ﾀｶｼ,徳島,A2,S,320205,1,59,165,56,A,5.69,37.5,0.15,A2,A2,A2,54.0,52.0,2017,1,20160501,20161031,45,徳　島,27,74.1,0.16,2.9,26,38.5,0.13,2.8,28,35.7,0.14,2.8,29,27.6,0.16,3.2,23,21.7,0.15,2.9,12,8.3,0.15,3.2
2994,茂　垣　　達　也,ﾓｶﾞｷ ﾀﾂﾔ,東京,B2,S,360907,1,55,164,58,O,3.21,17.0,0.24,B2,B1,B1,41.0,42.0,2017,1,20160501,20161031,48,東　京,7,14.3,0.28,5.0,10,10.0,0.27,5.2,12,25.0,0.18,3.7,5,20.0,0.28,5.2,9,22.2,0.25,4.7,4,0.0,0.16,4.8
3095,岩　津　　英　人,ｲﾜﾂ ﾋﾃﾞﾄ,岡山,B1,S,370227,1,54,163,52,A,4.54,22.7,0.17,B1,B1,B1,48.0,48.0,2017,1,20160501,20161031,52,岡　山,16,50.0,0.18,3.8,20,35.0,0.17,4.5,17,17.6,0.18,3.5,22,22.7,0.17,3.3,16,0.0,0.18,3.6,11,0.0,0.16,4.0
